OrderID,ProductID,Quantity,Discount
10248,11,12,0
10248,42,10,0
10248,72,5,0
10249,14,9,0
10249,51,40,0
10250,41,10,0
10250,51,35,0.15
10250,65,15,0.15
10251,22,6,0.05
10251,57,15,0.05
10251,65,20,0
10252,20,40,0.05
10252,33,25,0.05
10252,60,40,0
10253,31,20,0
10253,39,42,0
10253,49,40,0
10254,24,15,0.15
10254,55,21,0.15
10254,74,21,0
10255,2,20,0
10255,16,35,0
10255,36,25,0
10255,59,30,0
10256,53,15,0
10256,77,12,0
10257,27,25,0
10257,39,6,0
10257,77,15,0
10258,2,50,0.2
10258,5,65,0.2
10258,32,6,0.2
10259,21,10,0
10259,37,1,0
10260,41,16,0.25
10260,57,50,0
10260,62,15,0.25
10260,70,21,0.25
10261,21,20,0
10261,35,20,0
10262,5,12,0.2
10262,7,15,0
10262,56,2,0
10263,16,60,0.25
10263,24,28,0
10263,30,60,0.25
10263,74,36,0.25
10264,2,35,0
10264,41,25,0.15
10265,17,30,0
10265,70,20,0
10266,12,12,0.05
10267,40,50,0
10267,59,70,0.15
10267,76,15,0.15
10268,29,10,0
10268,72,4,0
10269,33,60,0.05
10269,72,20,0.05
10270,36,30,0
10270,43,25,0
10271,33,24,0
10272,20,6,0
10272,31,40,0
10272,72,24,0
10273,10,24,0.05
10273,31,15,0.05
10273,33,20,0
10273,40,60,0.05
10273,76,33,0.05
10274,71,20,0
10274,72,7,0
10275,24,12,0.05
10275,59,6,0.05
10276,10,15,0
10276,13,10,0
10277,28,20,0
10277,62,12,0
10278,44,16,0
10278,59,15,0
10278,63,8,0
10278,73,25,0
10279,17,15,0.25
10280,24,12,0
10280,55,20,0
10280,75,30,0
10281,19,1,0
10281,24,6,0
10281,35,4,0
10282,30,6,0
10282,57,2,0
10283,15,20,0
10283,19,18,0
10283,60,35,0
10283,72,3,0
10284,27,15,0.25
10284,44,21,0
10284,60,20,0.25
10284,67,5,0.25
10285,1,45,0.2
10285,40,40,0.2
10285,53,36,0.2
10286,35,100,0
10286,62,40,0
10287,16,40,0.15
10287,34,20,0
10287,46,15,0.15
10288,54,10,0.1
10288,68,3,0.1
10289,3,30,0
10289,64,9,0
10290,5,20,0
10290,29,15,0
10290,49,15,0
10290,77,10,0
10291,13,20,0.1
10291,44,24,0.1
10291,51,2,0.1
10292,20,20,0
10293,18,12,0
10293,24,10,0
10293,63,5,0
10293,75,6,0
10294,1,18,0
10294,17,15,0
10294,43,15,0
10294,60,21,0
10294,75,6,0
10295,56,4,0
10296,11,12,0
10296,16,30,0
10296,69,15,0
10297,39,60,0
10297,72,20,0
10298,2,40,0
10298,36,40,0.25
10298,59,30,0.25
10298,62,15,0
10299,19,15,0
10299,70,20,0
10300,66,30,0
10300,68,20,0
10301,40,10,0
10301,56,20,0
10302,17,40,0
10302,28,28,0
10302,43,12,0
10303,40,40,0.1
10303,65,30,0.1
10303,68,15,0.1
10304,49,30,0
10304,59,10,0
10304,71,2,0
10305,18,25,0.1
10305,29,25,0.1
10305,39,30,0.1
10306,30,10,0
10306,53,10,0
10306,54,5,0
10307,62,10,0
10307,68,3,0
10308,69,1,0
10308,70,5,0
10309,4,20,0
10309,6,30,0
10309,42,2,0
10309,43,20,0
10309,71,3,0
10310,16,10,0
10310,62,5,0
10311,42,6,0
10311,69,7,0
10312,28,4,0
10312,43,24,0
10312,53,20,0
10312,75,10,0
10313,36,12,0
10314,32,40,0.1
10314,58,30,0.1
10314,62,25,0.1
10315,34,14,0
10315,70,30,0
10316,41,10,0
10316,62,70,0
10317,1,20,0
10318,41,20,0
10318,76,6,0
10319,17,8,0
10319,28,14,0
10319,76,30,0
10320,71,30,0
10321,35,10,0
10322,52,20,0
10323,15,5,0
10323,25,4,0
10323,39,4,0
10324,16,21,0.15
10324,35,70,0.15
10324,46,30,0
10324,59,40,0.15
10324,63,80,0.15
10325,6,6,0
10325,13,12,0
10325,14,9,0
10325,31,4,0
10325,72,40,0
10326,4,24,0
10326,57,16,0
10326,75,50,0
10327,2,25,0.2
10327,11,50,0.2
10327,30,35,0.2
10327,58,30,0.2
10328,59,9,0
10328,65,40,0
10328,68,10,0
10329,19,10,0.05
10329,30,8,0.05
10329,38,20,0.05
10329,56,12,0.05
10330,26,50,0.15
10330,72,25,0.15
10331,54,15,0
10332,18,40,0.2
10332,42,10,0.2
10332,47,16,0.2
10333,14,10,0
10333,21,10,0.1
10333,71,40,0.1
10334,52,8,0
10334,68,10,0
10335,2,7,0.2
10335,31,25,0.2
10335,32,6,0.2
10335,51,48,0.2
10336,4,18,0.1
10337,23,40,0
10337,26,24,0
10337,36,20,0
10337,37,28,0
10337,72,25,0
10338,17,20,0
10338,30,15,0
10339,4,10,0
10339,17,70,0.05
10339,62,28,0
10340,18,20,0.05
10340,41,12,0.05
10340,43,40,0.05
10341,33,8,0
10341,59,9,0.15
10342,2,24,0.2
10342,31,56,0.2
10342,36,40,0.2
10342,55,40,0.2
10343,64,50,0
10343,68,4,0.05
10343,76,15,0
10344,4,35,0
10344,8,70,0.25
10345,8,70,0
10345,19,80,0
10345,42,9,0
10346,17,36,0.1
10346,56,20,0
10347,25,10,0
10347,39,50,0.15
10347,40,4,0
10347,75,6,0.15
10348,1,15,0.15
10348,23,25,0
10349,54,24,0
10350,50,15,0.1
10350,69,18,0.1
10351,38,20,0.05
10351,41,13,0
10351,44,77,0.05
10351,65,10,0.05
10352,24,10,0
10352,54,20,0.15
10353,11,12,0.2
10353,38,50,0.2
10354,1,12,0
10354,29,4,0
10355,24,25,0
10355,57,25,0
10356,31,30,0
10356,55,12,0
10356,69,20,0
10357,10,30,0.2
10357,26,16,0
10357,60,8,0.2
10358,24,10,0.05
10358,34,10,0.05
10358,36,20,0.05
10359,16,56,0.05
10359,31,70,0.05
10359,60,80,0.05
10360,28,30,0
10360,29,35,0
10360,38,10,0
10360,49,35,0
10360,54,28,0
10361,39,54,0.1
10361,60,55,0.1
10362,25,50,0
10362,51,20,0
10362,54,24,0
10363,31,20,0
10363,75,12,0
10363,76,12,0
10364,69,30,0
10364,71,5,0
10365,11,24,0
10366,65,5,0
10366,77,5,0
10367,34,36,0
10367,54,18,0
10367,65,15,0
10367,77,7,0
10368,21,5,0.1
10368,28,13,0.1
10368,57,25,0
10368,64,35,0.1
10369,29,20,0
10369,56,18,0.25
10370,1,15,0.15
10370,64,30,0
10370,74,20,0.15
10371,36,6,0.2
10372,20,12,0.25
10372,38,40,0.25
10372,60,70,0.25
10372,72,42,0.25
10373,58,80,0.2
10373,71,50,0.2
10374,31,30,0
10374,58,15,0
10375,14,15,0
10375,54,10,0
10376,31,42,0.05
10377,28,20,0.15
10377,39,20,0.15
10378,71,6,0
10379,41,8,0.1
10379,63,16,0.1
10379,65,20,0.1
10380,30,18,0.1
10380,53,20,0.1
10380,60,6,0.1
10380,70,30,0
10381,74,14,0
10382,5,32,0
